# hilos  matmul_tiled_openmp  softmax_openmp
1        0.409287             0.634776
2        0.219762             0.507906
3        0.164967             0.421393
4        0.150601             0.374705
5        0.111049             0.353992
6        0.104072             0.337325
7        0.098422             0.345906
8        0.087868             0.354493
9        0.157941             0.466558
10       0.148539             0.460365
11       0.143002             0.474194
12       0.119916             0.474422
13       0.104439             0.500955
14       0.096024             0.507219
15       0.089644             0.550891
16       0.088299             0.743816
